Number,Arabic,English
5817,[القطاع] ITU-R,ITU-R
5818,[القطاع] ITU-T,ITU-T
5819,[إطار العمل] J2EE,J2EE
5820,[نظام] Jabber,Jabber
5821,مأخذ,jack
5822,غلاف,jacket
5823,تعرجات,jaggies
5824,تشويش,jamming
5825,[لغة] جافا,Java
5826,بريمج جافا,Java applet
5827,بطاقة جافا,Java card
5828,رقاقة جافا,Java chip
5829,توصيلية قاعدة معطيات في بيئة جافا (JDBC),Java Database Connectivity
5830,طقم مطور [بلغة] جافا (JDK), Java Developer's Kit
5831,طقم تطوير [بلغة] جافا (JDK),Java Development Kit
5832,صفوف جافا الأساسية (JFC),Java Foundation Classes
5833,واجهة برمجة تطبيقات الإدارة باستعمال جافا,Java Managment Application Programming Interface
5834,بيئة جافا زمن التنفيذ (JRE),Java Runtime Environment
5835,صفحات مخدم جافا (JSP),Java Server Pages
5836,واجهة برمجة تطبيقات الهتف باستعمال جافا (JMAPI),Java Telephony Application Programming Interface
5837,آلة جافا الافتراضية (JVM),Java Virtual Machine
5838,[بريمج] JavaBean,JavaBean
5839,[لغة] JavaScript,JavaScript
5840,[ترابطية] JDBC,JDBC
5841,[نسق] JFIF,JFIF
5842,[تقنية] Jini,Jini
5843,مترجم فوري,JIT (Just-In-Time) compiler
5844,ارتعاش، رجرجة,jitter
5845,لغة التحكم في العمل (JCL),Job Control Language
5846,رتل أعمال,job queue
5847,ضم,join
5848,جول,Joule
5849,سجل,journal
5850,[لغة] JOVIAL,JOVIAL
5851,عصا القيادة ، عصا اللعب,joy stick
5852,عصا القيادة ، عصا اللعب,joystick
5853,[نسق] JPEG,JPEG
5854,[نسق] JPEG 2000,JPEG 2000
5855,[لغة] Jscript,Jscript
5856,[الواجهة] JTAPI,JTAPI
5857,ارتجاج,judder
5858,صندوق إسماع,jukebox
5859,تاريخ يوليايني,Julian date
5860,وصل (ربط)، [تعليمة] قفز,jump
5861,مختصرات لوحة المفاتيح,keyboard shortcuts
5862,رماز لغة,language code
5863,[ب] نهائي صغير,little endian
5864,قارئة محارف بالحبر الممغنط (MICR),Magnetic Ink Character Reader
5865,معلومات (معطيات) وصفية,metadata
5866,تفريع متعدد الممرات,multiway branching
5867,تفريع إلى n ممرا,n way branching
5868,نموذج شبكي,network model
5869,مودم شبكة,network modem
5870,جوار شبكة (NN),Network Neighborhood
5871,حيادية الشبكة,network neutrality
5872,عقدة شبكة,network node
5873,نظام تشغيل شبكي (NOS),Network Operating System
5874,مركز عمليات الشبكة (NOC),Network Operations Center
5875,مشغل شبكة,network operator
5876,استمثال الشبكة,network optimization
5877,حالة إرسال خارج الشبكة,network outpulsing state
5878,[ميزة] هتف صادر (NOD),Network Outward Dialing
5879,تجزيء شبكة,network partitioning
5880,أداء شبكة,network performance
5881,طابعة شبكية,network printer
5882,معالج شبكي,network processor
5883,حماية شبكة,network protection
5884,بروتوكول شبكة,network protocol
5885,مزود [خدمات] الشبكة,network provider
5886,دليل جاهزية الشبكة (NRI),Network Readiness Index
5887,[مسوق] موجه الشبكة,network redirector
5888,موثوقية الشبكة,network reliability
5889,استرجاع الشبكة,network restoration
5890,توجيه في الشبكة,network routing
5891,مقطع شبكة,network section
5892,أمن شبكة,network security
5893,بنيان أمن الشبكات,network security architecture
5894,قطعة شبكة,network segment
5895,مخدم شبكة,network server
5896,نقطة نفاذ إلى خدمات الشبكة (NSAP),Network Service Access Point
5897,قسم خدمات الشبكة,network service part
5898,خدمات شبكية,network services
5899,تشارك شبكي,network share
5900,خزن شبكي,network storage
5901,مراقبة الشبكة,network surveillance
5902,بقاء الشبكة,network survivability
5903,مبدال شبكة,network switch
5904,رقم مطراف شبكة (NTN),Network Terminal Number
5905,واجهة منتهي شبكة (NTI),Network Terminating Interface
5906,إنهاء [طريف] للشبكة (NT),Network Termination
5907,بروتوكول زمن الشبكة (NTP),Network Time Protocol
5908,طبولوجية شبكة,network topology
5909,شفافية شبكة,network transparency
5910,قاعدة حوسبة شبكية مؤتمنة (NTCB),Network Trusted Computing Base
5911,نفعية شبكية,network utility
5912,دليل مشبك,networked directory
5913,مسوق مشبك,networked drive
5914,تشبيك، ربط بالشبكة,networking
5915,تطبيق ينفذ بالشبكة,network-launched application
5916,معدات إنهاء الشبكات (NTE),Network-Terminating Equipment
5917,واجهة بين شبكتين (NNI),Network-to-Network In terface
5918,وكلاء شبكة عصبونية,neugents
5919,شبكة عصبونية,neural network
5920,محايد,neutral (adj)
5921,منظومة برقيات محايدة ذات تيار مستمر,neutral direct-current telegraph
5922,أرض محايدة,neutral ground
5923,عملية محايدة,neutral operation
5924,مرحل محايد,neutral relay
5925,منطقة محايدة,neutral zone
5926,زبون أخبار,news client
5927,تغذية أخبارية,news feed
5928,مجموعة أخبارية,news group
5929,مخدم أخبار,news server
5930,مجموعة أخبارية,newsgroup
5931,[برمجية] قارئ أخبار,newsreader
5932,[نظام التشغيل] Newton OS,Newton OS
5933,الجيل القادم للإنترنت (للشابكة) (NGI),Next Generation Internet
5934,شبكة فقارية ب IP من الجيل القادم,next generation IP backbone network
5935,قاعدة حوسبة آمنة من الجيل القادم (NGSCB),Next Generation Secure Computing Base
5936,بروتوكول حل القفزة التالية (NHRP),Next Hop Resolution Protocol
5937,[تشوير] NFAS,NFAS
5938,(نظام ملفات شبكية) NFS,NFS (Network File System)
5939,[دخل/خرج] NGIO,NGIO
5940,رباعية,nibble
5941,(مركز معلومات شبكة) NIC,NIC (Network Information Center)
5942,بطارية النيكل والكدميوم,NICAD battery
5943,لقب (شهرة),nickname
5944,[تجهيزة] NIDS,NIDS
5945,[دودة] Nimda,Nimda
5946,(نظام معلومات شبكة) NIS,NIS (Network Information System)
5947,[شبكة] N-ISDN,N-ISDN
5948,(المعهد الوطن للمعايي) NIST,NIST (National Institute Of Standards)
5949,[توزيعة] Nitix,Nitix
5950,عنوان ذو n مستوى,n-level address
5951,[أداة] Nmap,Nmap
5952,[بروتوكول] NNTP,NNTP
5953,بلا ندية,no parity
5954,عدم النفاذ البعيد إلى الذاكرة (NORMA),No Remote Memory Access
5955,ميقاتية عقدية,nodal clock
5956,عقدة,node
5957,عنوان عقدة,node address
5958,ضجيج,noise
5959,إلغاء ضجيج,noise cancellation
5960,تيار ضجيج,noise current
5961,قدرة مكافئة للضجيج,noise equivalent power
5962,حقل ضجيج,noise field
5963,رقم الضجيج (NF),Noise Figure
5964,مستوى الضجيج,noise level
5965,قدرة الضجيج,noise power
5966,كثافة قدرة الضجيج,noise power density
5967,حذف ضجيج,noise suppression
5968,فلطية الضجيج,noise voltage
5969,ضجيج أسود,noisy black
5970,ضجيج أبيض,noisy white
5971,نفاذ رحال,nomadic access
5972,حوسبة رحالة,nomadic computing
5973,تجهيزة رحالة,nomadic device
5974,اسمي,nominal
5975,عرض نطاق اسمي,nominal bandwidth
5976,المعدل الاسمي لحشو البتات,nominal bit stuffing rate
5977,نظام النوع الاسمي,nominative type system
5978,رهاب غياب الهاتف المحمول,nomophobia
5979,ليف ذو تشتت غير مزاح (NDSF),Non Dispersion-Shifted Fiber
5980,وسط إرسال غير موجه,non guided transmission media
5981,مقاطعة غير قابلة للحجب (NMI),Non Maskable Interrupt
5982,معدل [تدفق] بتات متغير بزمن غير حقيقي,non real time variable bit rate
5983,عدم عودة إلى الصفر (NRZ),Non Return to Zero
5984,عدم عودة إلى الصفر المعكوس (NRZI),Non Return to Zero Inverted
5985,عدم عودة إلى مستوى الصفر (NRZL),Non Return To Zero-Level
5986,تشوير بقناة مشتركة غير مرتبط,nonassociated common-channel signaling
5987,نمط تشوير غير مرتبط,nonassociated mode of signaling
5988,مخدم غير مخول,non-authoritative server
5989,مبدال بلا حجب,nonblocking switch
5990,محتوى غير خبوء,non-cacheable content
5991,تشوير غير مرتبط باتصال,non-call associated signaling
5992,عدد لمرة واحدة,nonce
5993,عملية لامركزية,noncentralized operation
5994,لادائرية,noncircularity
5995,خدمة غير مؤكدة,nonconfirmed service
5996,بنية معطيات غير متجاورة [القطاعات],noncontiguous data structure
5997,إعادة تعمية من بعد غير تعاونية,noncooperative remote rekeying
5998,تجهيزة غير مكتبية,non-desktop device
5999,غير حتمي,non-deterministic
6000,مرشد راديوي لاإتجاهي,non-directional radio beacon
6001,خزن لا يمحى (غير قابل للمحو),nonerasable storage
6002,عبارة غير تنفيذية,nonexecutable statement
6003,نفاذ غير ثابت,non-fixed access
6004,طابعة لاطرقية,nonimpact printer
6005,غير متحابك,noninterlaced
6006,تشوه الخطي,nonlinear distortion
6007,برمجة لاخطية,nonlinear programming
6008,تبعثر لاخطي,nonlinear scattering
6009,بلا خط نظر,non-line-of-sight
6010,زوج مضفور لاحملي,nonloaded twisted pair
6011,حلغي عمليات,nonoperational load
6012,ذاكرة عديمة الندية,non-parity memory
6013,نفاذ متعدد بتحسس الحامل(CSMA) غير دائم,nonpersistent Carrier Sense Multiple Access
6014,تعدد مهام بلا استحواز,non-preemptive multitasking
6015,بزمن غير حقيقي,non-real-time
6016,خطأ قراءة لا يصحح (غير قابل للتصحيح),nonrecoverable read error
6017,عدم إنكار (غير قابل للإلنكار),nonrepudiation
6018,خاصيات غير مقيمة,nonresident attributes
6019,هوائي غير مجاوب,nonresonant antenna
6020,بروتوكول غير قابل للتوجيه,non-routable protocol
6021,تعمية غير سرية,nonsecret encryption
6022,ليف [ذو تشتت] غير مزاح,nonshifted fiber
6023,قناة إرسال معطيات لامتزامنة,nonsynchronous data transmission channel
6024,شبكة لامتزامنة,nonsynchronous network
6025,نظام لامتزامن,nonsynchronous system
6026,خط اختبار لامتزامن,nonsynchronous test line
6027,نفاذ غير منتظم إلى الذاكرة (NUMA),Non-Uniform Memory Access
6028,لامتلاش,nonvolatile
6029,ذاكرة لامتلاشية,nonvolatile memory
6030,خزن لامتلاش,Nonvolatile storage
6031,حامل خطوط لالسلكية,non-wireline carrier
6032,تعليمة لا تنفيذ,NO-OP
6033,عملية NOR,NOR (NOR operation)
6034,نمط نظامي (طبقة التقدمي),normal mode (presentation layer)
6035,صورة ثابتة بميز نظامي,normal resolution still image
6036,نمط إجابة نظامية (NRM),Normal Response Mode
6037,توجيه نظامي,normal routing
6038,بت عادي/إنذار,Normal/Alarm bit
6039,استنظام,normalization
6040,إجرائية استنظام,normalization process
6041,تردد مستنظم,normalized frequency
6042,طيف قدرة مستنظم,normalized power spectrum
6043,خطة أرقام في أمريكا الشمالية (NANP),North American Number Plan
6044,مجلس ترقيم في أمريكا الشمالية (NANC),North American Numbering Council
6045,[معيار] نفاذ متعدد باقتسام الزمن في أمريكا الشمالية,North American Time Division Multiple Access
6046,عملية NOT,NOT operation
6047,بلا تغطية كافية,not spot
6048,ليس عددا (NaN),Not-a-Number
6049,توثيق (تصديق),notarization
6050,تدوين,notation
6051,ثلم,notch
6052,حاسوب مذكرة,notebook computer
